100
5.50 5.98
8.31 8.26
12.12 6.79
20.16 7.41
26.45 5.41
30.99 5.46
35.61 8.29
42.89 5.12
48.10 7.12
56.96 5.93
67.83 6.62
75.01 8.34
84.55 6.89
91.74 7.24
100.68 7.03
106.57 4.83
111.40 5.95
114.94 6.43
119.73 5.38
126.78 5.81
136.54 6.86
137.76 6.00
144.37 6.18
155.24 5.27
161.61 6.96
167.18 5.51
171.55 5.48
177.53 8.18
186.06 5.38
187.93 7.23
198.45 4.58
208.80 8.09
217.19 5.59
226.77 4.50
234.71 5.08
243.47 5.30
244.98 6.33
250.79 6.09
256.87 5.47
261.87 6.23
268.98 6.21
271.46 5.22
274.21 5.45
282.66 5.06
292.29 5.84
300.59 5.14
302.92 8.19
307.67 7.93
315.22 5.00
322.58 5.66
329.20 8.44
335.19 6.06
344.58 5.53
347.59 8.02
356.22 4.90
361.33 6.54
370.54 7.12
372.25 6.60
381.98 7.52
390.19 6.51
396.46 7.37
398.83 5.94
403.99 6.97
405.67 5.02
407.49 7.00
415.93 6.03
423.00 4.94
432.71 7.00
442.99 7.52
447.39 8.17
448.75 7.96
453.51 7.56
463.73 5.38
468.12 6.42
477.63 7.90
488.47 8.09
493.51 5.04
502.13 7.88
511.62 5.06
522.37 5.39
525.27 4.79
534.23 5.05
538.79 4.62
548.82 7.34
557.65 6.28
564.62 4.97
569.78 7.71
575.44 7.14
579.86 5.99
585.24 5.29
589.02 6.85
592.81 5.43
600.22 7.88
611.00 6.39
615.48 4.61
624.25 7.66
633.06 4.97
641.34 8.36
643.04 5.45
648.12 8.07
